year_month;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68
01.04.1981;0,008997935;0,002192276;0,00943604;0,009208963;0,007379979;0,010598341;0,00273986;0,014594788;0,006344774;0,018437635;0,02554411;0,020681916;0,026393761;0,00360047;0,034828143;0,012349636;0,00914025;0,013783738;0,040900314;0,021019783;0,016949823;0,011137548;0,009794762;0,018836303;0,011640862;0,008430513;0,013862052;0,014939286;0,015684525;0,015886898;0,00768279;0,011577076;0,041513625;0,012770227;0,010999445;0,010222745;0,013689067;0,007497056;0,017217637;0,010613937;0,01754876;0,008564166;0,01763206;0,006023597;0,040351799;0,009132422;0,01290782;0,014720106;0,020258672;0,017237037;0,012937195;0,012721607;0,002356226;0,011190942;0,008824021;0,02057494;0,021839859;0,026216174;0,009105811;0,031973506;0,009160302;0,01559499;0,006744122;0,006535849;0,011860602;0,012453174;0,021946078;0,014469274
01.05.1981;0,011515305;0,002237182;0,009429767;0,011013556;0,010241933;0,011137748;0,002886849;0,014825381;0,006234665;0,020479623;0,022100041;0,022067213;0,026710478;0,004657365;0,03241896;0,011622211;0,010297098;0,012097651;0,040410517;0,022299525;0,016281186;0,0118317;0,009981766;0,015724328;0,0117913;0,007435589;0,011269799;0,020450063;0,018003873;0,010659851;0,006394622;0,009806111;0,043848467;0,014443951;0,011257061;0,010567402;0,016666614;0,009567163;0,019877787;0,010811103;0,017430111;0,00753686;0,019642918;0,006300954;0,040427324;0,01011655;0,011931174;0,015110079;0,015734792;0,017966302;0,014587157;0,007504577;0,003284348;0,011817979;0,007633371;0,022714248;0,015833314;0,025322551;0,006849842;0,037267626;0,008653239;0,01311502;0,009201364;0,007883838;0,009227624;0,011848686;0,020273165;0,01343218
01.06.1981;0,009960147;0,002140847;0,008519362;0,009389309;0,009937886;0,012053928;0,003032838;0,015658271;0,007181472;0,017964359;0,023176766;0,02133058;0,028072291;0,006382417;0,033346948;0,011590947;0,011211508;0,010805615;0,037349554;0,0216134;0,012436444;0,011378418;0,012135527;0,015481122;0,011856097;0,005761487;0,011721138;0,022571799;0,019298931;0,013837991;0,007258029;0,012228392;0,037559157;0,014561345;0,010798625;0,01229317;0,014798471;0,00504291;0,01963615;0,011390871;0,019589228;0,009318759;0,017659271;0,004434699;0,045372608;0,010767113;0,012533133;0,015090974;0,015908174;0,019575578;0,017169451;0,008108374;0,007224468;0,012755812;0,009585903;0,024673337;0,010718691;0,023404253;0,005795305;0,03011781;0,008880031;0,012727141;0,008080111;0,006540599;0,009896768;0,013526664;0,022200569;0,015580659
01.07.1981;0,008846731;0,002288896;0,009059403;0,009975714;0,009200806;0,011639449;0,00268312;0,017353935;0,006287048;0,018375842;0,020671464;0,01993079;0,028381577;0,005234399;0,034362342;0,012279778;0,008919982;0,010586213;0,040350259;0,020616789;0,018278615;0,010308469;0,010032797;0,015752556;0,012842596;0,007169417;0,01417885;0,016950273;0,019487221;0,014057906;0,00749983;0,01006661;0,037315992;0,014824721;0,011657119;0,011767421;0,014871254;0,005470943;0,015831491;0,011207527;0,019632961;0,007372177;0,015259603;0,006181743;0,047669798;0,010599624;0,01272387;0,014472376;0,017209312;0,019448847;0,015071029;0,00768025;0,004386476;0,013140424;0,0102485;0,025366763;0,02098956;0,0226634;0,006152772;0,03701067;0,009390565;0,008709866;0,007591954;0,005693463;0,009738054;0,012594716;0,022386063;0,01399902
01.08.1981;0,009125519;0,002245565;0,009808875;0,011292645;0,009746049;0,013189184;0,002988408;0,016685199;0,006585943;0,019242605;0,019435872;0,0180365;0,015353253;0,004103401;0,035812962;0,009418351;0,011699963;0,013778748;0,035888486;0,022829916;0,013801318;0,013201701;0,010920354;0,011522351;0,015047761;0,007761294;0,015726879;0,021250651;0,017030382;0,02093782;0,008495145;0,011659439;0,034833195;0,015082469;0,010292054;0,009098105;0,011841026;0,007092714;0,017562015;0,015386582;0,020465727;0,01014927;0,010727526;0,007701465;0,036872193;0,012148886;0,013409184;0,014056155;0,018434685;0,01682019;0,016702146;0,010371144;0,004819863;0,011911146;0,015715961;0,016197568;0,015354098;0,022078556;0,007409966;0,035535289;0,009293971;0,012901086;0,012979028;0,007401462;0,010487817;0,015661046;0,024229745;0,014354131
01.09.1981;0,009063324;0,002525228;0,009179939;0,010567873;0,009300594;0,011105731;0,002885066;0,018136396;0,007216243;0,021767863;0,022743168;0,020167812;0,022573029;0,004658935;0,03260404;0,01031802;0,012110701;0,012024819;0,04177979;0,022920483;0,011682928;0,011119238;0,01143234;0,019041539;0,012376384;0,007987365;0,015061679;0,015341412;0,015632362;0,018195086;0,007413888;0,013492204;0,045695839;0,017180602;0,010429438;0,011288055;0,01422896;0,006031002;0,016905127;0,011126406;0,015773092;0,008069278;0,017342005;0,004910129;0,03991063;0,010384308;0,013637678;0,012796652;0,017003228;0,018019048;0,014145388;0,008801158;0,004063099;0,011081776;0,010202822;0,022344256;0,009950592;0,025934074;0,00563762;0,040557651;0,010870223;0,010399204;0,009545567;0,007158776;0,010135208;0,012407564;0,019057378;0,014550689
01.10.1981;0,009182853;0,002421296;0,009411357;0,0115352;0,008501635;0,011555428;0,002765439;0,021056631;0,005977569;0,020181326;0,022568349;0,020826024;0,0232005;0,009465065;0,032231632;0,010330544;0,010739565;0,010829115;0,043399603;0,021327902;0,014644556;0,010737441;0,011105619;0,019407344;0,013918567;0,005947365;0,013111389;0,013942297;0,015742609;0,013959496;0,007001793;0,008825489;0,036880873;0,013031086;0,0111965;0,00983601;0,010366045;0,005083314;0,013724318;0,009783638;0,017661995;0,008518009;0,021476823;0,005975713;0,045774658;0,009907934;0,01525159;0,013183964;0,016488364;0,017518;0,015299742;0,008600886;0,004482404;0,011541814;0,00790098;0,026566073;0,020951964;0,027098445;0,007943074;0,037261624;0,009296818;0,012874099;0,009379595;0,005674421;0,010426802;0,012570647;0,019634016;0,01498676
01.11.1981;0,008864812;0,002265447;0,010469993;0,010965495;0,006593587;0,011103119;0,003326594;0,016190514;0,006092524;0,018711826;0,02439369;0,022769563;0,02205777;0,006791792;0,033471025;0,01124414;0,012745836;0,011519454;0,043647497;0,020765012;0,0108346;0,014150452;0,01165979;0,014974515;0,013965913;0,004951454;0,016226175;0,012790943;0,019573202;0,014469802;0,007406058;0,014277792;0,036821572;0,012397198;0,010919658;0,009510377;0,012197452;0,007782189;0,01247532;0,011523336;0,017908792;0,008417061;0,019935116;0,005279683;0,039996037;0,010932258;0,012065403;0,015767833;0,019264285;0,016601068;0,014200247;0,008874897;0,003235586;0,012934425;0,010036212;0,021009104;0,014158529;0,024873196;0,007576362;0,036166673;0,010567231;0,01577415;0,008097563;0,00801595;0,011691288;0,011761058;0,02491676;0,017045744
01.12.1981;0,008586138;0,002033683;0,008724278;0,00898566;0,006252079;0,010227517;0,002920765;0,017476583;0,006815036;0,015921082;0,025052958;0,021353103;0,019101033;0,006044724;0,031699841;0,014554267;0,012998965;0,01031773;0,042838265;0,015359169;0,023556411;0,0131708;0,010194954;0,017039684;0,012070301;0,006158259;0,014406292;0,014235973;0,017997801;0,029361492;0,006258684;0,01267593;0,033314617;0,01064528;0,012636767;0,013100636;0,011680062;0,008286579;0,010673788;0,011666294;0,015549246;0,008070377;0,013122345;0,006095589;0,053373355;0,007917197;0,01417409;0,014181231;0,016241782;0,015996246;0,017366712;0,008185593;0,003914279;0,012907827;0,009781271;0,023048007;0,010223941;0,025185572;0,007679571;0,034887058;0,011111221;0,013324058;0,010699746;0,00996356;0,011993914;0,010351455;0,021960041;0,016301237
01.01.1982;0,010367007;0,00230914;0,011320707;0,010084154;0,00690348;0,01199252;0,002887475;0,016251204;0,006834086;0,01361253;0,026241219;0,021888403;0,0133267;0,005619762;0,035053003;0,015740316;0,011736827;0,010993823;0,044502085;0,01741134;0,018518154;0,013847063;0,008179001;0,016728903;0,01484007;0,004461908;0,011860653;0,013987872;0,018042402;0,022323254;0,00706449;0,010959156;0,038448702;0,013485951;0,010570472;0,011476976;0,012335463;0,005848738;0,011292022;0,008921769;0,015751345;0,010621676;0,017236538;0,005128968;0,048334634;0,009086589;0,016499215;0,014630559;0,017080947;0,015382686;0,014931184;0,00727676;0,002718186;0,012578851;0,007627482;0,019884766;0,022072946;0,02473368;0,007149999;0,042707016;0,009980497;0,011070091;0,009241964;0,007045309;0,008104551;0,012531836;0,023674151;0,018648777
