year_month;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100
01.04.1981;0,006851397;0,004398829;0,019556296;0,001813456;0,004416259;0,003161941;0,001986326;0,010320582;0,00553477;0,014440196;0,011260601;0,010275169;0,008011533;0,00281748;0,012553493;0,006777949;0,002157644;0,01109937;0,027333673;0,015823297;0,012440338;0,008519439;0,002461453;0,011184318;0,009127103;0,005123697;0,008531643;0,010200081;0,006868386;0,004177139;0,007675894;0,010377558;0,039041513;0,009985002;0,009725149;0,005663073;0,014054834;0,010273785;0,013133876;0,009463767;0,007035724;0,006396815;0,012815946;0,004053623;0,018830622;0,007162875;0,010852963;0,010303817;0,015837993;0,014118967;0,010267005;0,010598101;0,001483192;0,012005804;0,005442083;0,016339522;0,019865539;0,020066575;0,005819442;0,022493113;0,005317138;0,014704074;0,006771745;0,005359627;0,006907088;0,008495911;0,016093018;0,012246881;0,013521782;0,012881572;0,007399144;0,010394242;0,018398957;8,22E-04;0,007226277;0,00711704;0,007283602;0,015407629;0,014219952;0,007750944;0,00533805;0,005760396;0,002296091;0,006287377;0,019131576;0,014931049;0,010739012;0,004343363;0,015753356;0,003807773;0,003669569;0,006411278;0,011375466;0,008759633;0,007466701;0,002729342;0,016061227;0,027622642;0,007142447;0,001647254
01.05.1981;0,008638321;0,005279013;0,020090098;0,001913243;0,005756105;0,00305717;0,002118269;0,011189766;0,005572332;0,015397881;0,009872477;0,011437203;0,005013891;0,003605086;0,011610361;0,008706657;0,002301011;0,009287769;0,028008447;0,015002961;0,009627903;0,009396358;0,002027099;0,009392018;0,009675242;0,004383322;0,009996196;0,013474609;0,00827244;0,00402434;0,008583685;0,009064394;0,041141711;0,011508101;0,010039239;0,005361894;0,016188997;0,010366332;0,015032678;0,010020311;0,005629529;0,005816899;0,014248089;0,00470004;0,01838581;0,008201617;0,009959188;0,010568148;0,011694618;0,01415318;0,011456991;0,005867699;0,002401393;0,01324725;0,005042884;0,019331319;0,014062742;0,019264885;0,005464439;0,029989642;0,005004285;0,01206685;0,006006205;0,006639911;0,007031154;0,010088065;0,015394046;0,012006187;0,015322237;0,012961442;0,007318302;0,012073577;0,018182753;0,001155956;0,009253066;0,005124525;0,006031166;0,01516457;0,014927085;0,006889247;0,006163049;0,005341328;0,001353252;0,004570569;0,019112855;0,014720751;0,009521459;0,003855269;0,014449729;0,003046048;0,004931975;0,007363659;0,010418682;0,009904916;0,01033999;0,003263008;0,007338067;0,026157131;0,006980237;0,001606103
01.06.1981;0,009027862;0,004817311;0,019100597;0,00157753;0,005768926;0,003127796;0,002197218;0,011664219;0,005711249;0,014083956;0,010328043;0,010907903;0,007231201;0,005118962;0,011262756;0,007759691;0,002644015;0,01019269;0,026177601;0,015695758;0,008072614;0,009143927;0,002574241;0,008786999;0,009497918;0,002925082;0,009136155;0,015535382;0,006782272;0,004304004;0,008219036;0,011393431;0,03579761;0,011663089;0,009746777;0,006613588;0,015434896;0,008975995;0,015907938;0,009797001;0,009822608;0,007589343;0,012460365;0,003143586;0,020987729;0,008196515;0,010642741;0,010788804;0,011762253;0,016013075;0,013078093;0,005879799;0,005020196;0,014105954;0,005680619;0,020803339;0,00925448;0,019062122;0,005713017;0,022072586;0,005217439;0,01191848;0,006721679;0,005373376;0,00767599;0,010034123;0,015922057;0,013466583;0,014785506;0,012299339;0,006590987;0,012111771;0,016927448;0,001928559;0,008256682;0,005601008;0,007292953;0,016654552;0,017869014;0,007037911;0,006313962;0,007246527;0,00163417;0,003406452;0,017893729;0,014692322;0,007566588;0,0047555;0,013993398;0,003463014;0,002497315;0,008705261;0,011597683;0,00799397;0,008802527;0,00400931;0,010509945;0,026903659;0,00593108;0,001617669
01.07.1981;0,010662696;0,004762618;0,017258802;0,001997893;0,005565603;0,003994587;0,001951343;0,011748309;0,005957496;0,014459141;0,009188315;0,01048432;0,007349642;0,00433008;0,013177519;0,008695375;0,002164017;0,010812928;0,02676211;0,014392415;0,014027843;0,008052483;0,002194333;0,009207972;0,01016305;0,003028542;0,008427056;0,010614524;0,008666895;0,003711892;0,008750715;0,008996205;0,035730984;0,012001867;0,010524486;0,00616254;0,01545275;0,009640652;0,012282137;0,00986424;0,007734569;0,004997581;0,010093898;0,004285638;0,020573719;0,008316272;0,010376075;0,009924796;0,012495164;0,015795726;0,011403613;0,005736531;0,002379138;0,01331823;0,006002519;0,021121822;0,018874909;0,018941568;0,005294913;0,028035311;0,005652863;0,00816543;0,006031991;0,004554489;0,006589025;0,009080449;0,017997685;0,011995475;0,012895029;0,013661692;0,006989213;0,011593749;0,019022163;9,76E-04;0,006620124;0,006784075;0,00752444;0,018254681;0,017287732;0,00748785;0,006132868;0,007382099;0,001512024;0,003384753;0,020231004;0,016512198;0,007962305;0,004146725;0,012895218;0,0035718;0,003311846;0,007283857;0,010303283;0,006306527;0,008502364;0,004427008;0,011643074;0,027121965;0,007672862;0,001613207
01.08.1981;0,007097889;0,005449215;0,009445285;0,002026097;0,005885822;0,002670531;0,002160619;0,011237423;0,005905844;0,015160906;0,009808602;0,009474229;0,001259516;0,003283148;0,013512954;0,00579595;0,003071525;0,014840933;0,022984949;0,016958145;0,009684155;0,010656512;0,003228413;0,006116487;0,012068306;0,003836916;0,008652353;0,012676593;0,006715766;0,006012217;0,008821824;0,010062808;0,0332603;0,01163769;0,009171547;0,005227943;0,014475489;0,009071169;0,012934991;0,011692279;0,009278519;0,00743171;0,007695124;0,005842287;0,016630645;0,009391271;0,011360298;0,010160166;0,013886825;0,013581589;0,012176835;0,007754541;0,002291638;0,012528322;0,008185966;0,013062071;0,014042122;0,017638484;0,006084918;0,024411589;0,005481394;0,012260701;0,007623294;0,005988553;0,006835705;0,010383184;0,018852879;0,012802769;0,014722846;0,014247151;0,007813371;0,013096903;0,015317605;0,001742843;0,007170063;0,007402572;0,009566298;0,013293087;0,015589314;0,008450999;0,004902185;0,012421041;0,001311807;0,004848301;0,020168826;0,016156098;0,01101529;0,005693193;0,012673384;0,004712066;0,002385822;0,008014523;0,011897199;0,008607299;0,01398957;0,005242552;0,012433595;0,028729809;0,007000275;0,001687377
01.09.1981;0,008617689;0,004768914;0,015454154;0,001925548;0,005776607;0,00267184;0,002077535;0,012113627;0,006861002;0,016434969;0,010180948;0,009797996;0,005659102;0,00365871;0,012260561;0,00604109;0,001922705;0,010236798;0,029816711;0,016914818;0,007416988;0,008638143;0,002236401;0,011811353;0,010076019;0,003855065;0,007690168;0,009774914;0,005986761;0,003265835;0,008896048;0,013107052;0,042528417;0,012976046;0,00946532;0,006709666;0,01705938;0,010315241;0,012746077;0,010751511;0,006425876;0,006493856;0,012399305;0,003540243;0,018510462;0,008279166;0,011331556;0,009385186;0,012561933;0,014341477;0,011327058;0,006440184;0,002802616;0,011858127;0,007603314;0,017911923;0,008839171;0,019605206;0,004867474;0,028337961;0,005997455;0,009759578;0,00660927;0,005870891;0,005968427;0,010924782;0,014392614;0,012837313;0,01301936;0,016304546;0,007323064;0,012104864;0,017643633;0,001231749;0,008471262;0,007615017;0,007022282;0,014880394;0,014376503;0,006809309;0,005660577;0,008395757;0,00161697;0,003442946;0,021938835;0,013722269;0,009181892;0,004300278;0,015289399;0,004855702;0,003115091;0,008874358;0,010147673;0,007796474;0,01020041;0,003303604;0,013713863;0,02646143;0,005785542;0,001674789
01.10.1981;0,008524307;0,00559681;0,015392871;0,002086353;0,005367774;0,002630052;0,002023074;0,01432215;0,005609536;0,015992684;0,01033927;0,010633741;0,005924532;0,007642158;0,012472549;0,006819863;0,002470734;0,009147582;0,029802752;0,015895778;0,009354033;0,00815247;0,002344253;0,011197165;0,011487643;0,002686839;0,006438433;0,009727385;0,006716799;0,004037616;0,008225766;0,00845026;0,034670572;0,010052134;0,009941851;0,005433254;0,011803817;0,010389035;0,010763721;0,009637007;0,008411124;0,006816207;0,016008273;0,004652811;0,021753869;0,007807591;0,012965064;0,009543354;0,012147056;0,014237219;0,01190003;0,006501641;0,003482054;0,012858749;0,006791122;0,02217102;0,019254382;0,018914187;0,005369718;0,023285963;0,005561774;0,012093884;0,005904711;0,004642283;0,00810468;0,008770105;0,015188515;0,01419218;0,013183814;0,017300861;0,007563179;0,010453077;0,019624322;0,001322729;0,007075278;0,006642564;0,006289073;0,018881772;0,014682512;0,006272001;0,005199762;0,005297261;0,001716167;0,005111776;0,021965627;0,013902816;0,008574538;0,003834951;0,01532676;0,00335813;0,003618484;0,008040452;0,010166352;0,006817747;0,009769154;0,003442002;0,010884735;0,025885097;0,00658602;0,001676799
01.11.1981;0,008967024;0,005328188;0,014290542;0,001750263;0,004228858;0,003842712;0,002301602;0,01094162;0,005970649;0,014935314;0,011223231;0,011818569;0,003512769;0,00541699;0,012470653;0,006742158;0,003541146;0,011215261;0,030668213;0,015567012;0,007125796;0,011491327;0,002066518;0,008183259;0,011894539;0,001943881;0,008079479;0,008399617;0,007199287;0,003750765;0,007530571;0,013665157;0,034773676;0,009631989;0,009897997;0,005497453;0,014099908;0,010617299;0,008329918;0,010174412;0,008389406;0,006162581;0,0151942;0,003584248;0,019619937;0,008623067;0,010183354;0,011507418;0,014474841;0,01356921;0,010599405;0,007180859;0,002272869;0,013270563;0,006421532;0,01774941;0,012898541;0,020264098;0,005549005;0,021123612;0,006119025;0,015002096;0,007362162;0,00702734;0,007357924;0,007961935;0,019146092;0,015288384;0,012056572;0,017510046;0,008051246;0,010197208;0,019456514;0,001223189;0,009592737;0,008793703;0,006928363;0,014504074;0,01810009;0,006566169;0,004639673;0,00618653;0,001587998;0,004865971;0,020608389;0,013741144;0,008407149;0,004232442;0,0138766;0,003967155;0,003034879;0,008809401;0,011607883;0,010087762;0,009090448;0,003511557;0,010085692;0,027279392;0,006775133;0,001636155
01.12.1981;0,007736739;0,004404272;0,013314167;0,001641722;0,004182553;0,002705075;0,00216163;0,011992144;0,00619935;0,012703147;0,011579814;0,011114337;0,002759385;0,004778025;0,012865978;0,007406272;0,002989523;0,009153272;0,026364896;0,011733899;0,013747074;0,009886834;0,002190184;0,009587932;0,009863432;0,004882876;0,006866806;0,008673496;0,007344666;0,005746922;0,006746351;0,011425334;0,031225974;0,008097692;0,011045632;0,007659447;0,014356532;0,011013195;0,006866409;0,012123369;0,006434775;0,006062878;0,009322187;0,00414355;0,024070326;0,00644192;0,011844405;0,010335251;0,012062926;0,012919977;0,013429532;0,006464951;0,00235912;0,014127531;0,007109495;0,018384111;0,009050928;0,021429915;0,004950452;0,019954868;0,006109305;0,012394098;0,006246739;0,008600492;0,010518623;0,007803122;0,016357367;0,01531072;0,011213796;0,017164083;0,00679052;0,009194234;0,020855763;9,34E-04;0,009058031;0,007218113;0,008014815;0,019157191;0,017397993;0,009100041;0,006947734;0,007270074;0,001831219;0,005333168;0,02050459;0,012601292;0,007118388;0,004546585;0,013825072;0,00343752;0,003684222;0,006855937;0,010419135;0,011058161;0,01134245;0,004698173;0,029693702;0,024106077;0,005560171;0,001691363
01.01.1982;0,005532859;0,004922478;0,010787797;0,001947357;0,004313647;0,003078892;0,002083511;0,010566786;0,006850702;0,010400236;0,011848528;0,011258217;9,97E-04;0,004725769;0,012760145;0,007978086;0,003422455;0,010392901;0,03051754;0,012633703;0,009542145;0,010325725;0,00203983;0,010184361;0,012579175;0,003586671;0,005058765;0,008411841;0,007666389;0,002992558;0,007571737;0,010301184;0,035702884;0,010944848;0,009406419;0,005980794;0,014828098;0,011143053;0,010093585;0,009189097;0,006131195;0,007443868;0,012565834;0,003760987;0,021874926;0,007333913;0,01349799;0,010591048;0,012781617;0,012301316;0,011588156;0,005624695;0,002024621;0,014063116;0,007086588;0,015775214;0,020233566;0,020535048;0,006471657;0,025227351;0,00607999;0,010483222;0,009130157;0,005877153;0,006327147;0,008336804;0,017938734;0,016590946;0,013689713;0,020224699;0,009279894;0,009835255;0,019839313;8,26E-04;0,007162314;0,006129645;0,005674593;0,016478094;0,017178213;0,006711474;0,006534035;0,005921523;0,001563021;0,00348061;0,02142188;0,014489969;0,008866931;0,003800058;0,014030749;0,003723172;0,002653994;0,005271696;0,012259459;0,007613255;0,008821883;0,00313394;0,025968976;0,027866614;0,005640239;0,001664012
